collection_timestamp,event_id,event_name,event_date,team1,score1,team2,score2,top_scorer,top_rebounder,top_assist,team1_top_scorer,team1_top_rebounder,team1_top_assist,team2_top_scorer,team2_top_rebounder,team2_top_assist
2025-03-18 06:04:30,401705550,Miami Heat at New York Knicks,2025-03-17T23:30Z,New York Knicks,116,Miami Heat,95,,,,,,,,,
2025-03-18 06:04:30,401705551,Philadelphia 76ers at Houston Rockets,2025-03-18T00:00Z,Houston Rockets,144,Philadelphia 76ers,137,,,,,,,,,
2025-03-18 06:04:30,401705552,Indiana Pacers at Minnesota Timberwolves,2025-03-18T00:00Z,Minnesota Timberwolves,130,Indiana Pacers,132,,,,,,,,,
2025-03-18 06:04:30,401705553,Detroit Pistons at New Orleans Pelicans,2025-03-18T00:00Z,New Orleans Pelicans,81,Detroit Pistons,127,,,,,,,,,
2025-03-18 06:04:30,401705555,Chicago Bulls at Utah Jazz,2025-03-18T01:00Z,Utah Jazz,97,Chicago Bulls,111,,,,,,,,,
2025-03-18 06:04:30,401705556,Denver Nuggets at Golden State Warriors,2025-03-18T02:00Z,Golden State Warriors,105,Denver Nuggets,114,,,,,,,,,
2025-03-18 06:04:30,401705557,Toronto Raptors at Phoenix Suns,2025-03-18T02:00Z,Phoenix Suns,129,Toronto Raptors,89,,,,,,,,,
2025-03-18 06:04:30,401705558,Memphis Grizzlies at Sacramento Kings,2025-03-18T02:00Z,Sacramento Kings,132,Memphis Grizzlies,122,,,,,,,,,
2025-03-18 06:04:30,401705561,Washington Wizards at Portland Trail Blazers,2025-03-18T02:00Z,Portland Trail Blazers,112,Washington Wizards,97,,,,,,,,,
2025-03-18 06:04:30,401754705,San Antonio Spurs at Los Angeles Lakers,2025-03-18T02:30Z,Los Angeles Lakers,125,San Antonio Spurs,109,,,,,,,,,
2025-03-18 06:05:33,401705550,Miami Heat at New York Knicks,2025-03-17T23:30Z,New York Knicks,116,Miami Heat,95,,,,,,,,,
2025-03-18 06:05:33,401705551,Philadelphia 76ers at Houston Rockets,2025-03-18T00:00Z,Houston Rockets,144,Philadelphia 76ers,137,,,,,,,,,
2025-03-18 06:05:33,401705552,Indiana Pacers at Minnesota Timberwolves,2025-03-18T00:00Z,Minnesota Timberwolves,130,Indiana Pacers,132,,,,,,,,,
2025-03-18 06:05:33,401705553,Detroit Pistons at New Orleans Pelicans,2025-03-18T00:00Z,New Orleans Pelicans,81,Detroit Pistons,127,,,,,,,,,
2025-03-18 06:05:33,401705555,Chicago Bulls at Utah Jazz,2025-03-18T01:00Z,Utah Jazz,97,Chicago Bulls,111,,,,,,,,,
2025-03-18 06:05:33,401705556,Denver Nuggets at Golden State Warriors,2025-03-18T02:00Z,Golden State Warriors,105,Denver Nuggets,114,,,,,,,,,
2025-03-18 06:05:33,401705557,Toronto Raptors at Phoenix Suns,2025-03-18T02:00Z,Phoenix Suns,129,Toronto Raptors,89,,,,,,,,,
2025-03-18 06:05:33,401705558,Memphis Grizzlies at Sacramento Kings,2025-03-18T02:00Z,Sacramento Kings,132,Memphis Grizzlies,122,,,,,,,,,
2025-03-18 06:05:33,401705561,Washington Wizards at Portland Trail Blazers,2025-03-18T02:00Z,Portland Trail Blazers,112,Washington Wizards,97,,,,,,,,,
2025-03-18 06:05:33,401754705,San Antonio Spurs at Los Angeles Lakers,2025-03-18T02:30Z,Los Angeles Lakers,125,San Antonio Spurs,109,,,,,,,,,
2025-03-18 06:29:21,401705550,Miami Heat at New York Knicks,2025-03-17T23:30Z,New York Knicks,116,Miami Heat,95,,,,,,,,,
2025-03-18 06:29:21,401705551,Philadelphia 76ers at Houston Rockets,2025-03-18T00:00Z,Houston Rockets,144,Philadelphia 76ers,137,,,,,,,,,
2025-03-18 06:29:21,401705552,Indiana Pacers at Minnesota Timberwolves,2025-03-18T00:00Z,Minnesota Timberwolves,130,Indiana Pacers,132,,,,,,,,,
2025-03-18 06:29:21,401705553,Detroit Pistons at New Orleans Pelicans,2025-03-18T00:00Z,New Orleans Pelicans,81,Detroit Pistons,127,,,,,,,,,
2025-03-18 06:29:21,401705555,Chicago Bulls at Utah Jazz,2025-03-18T01:00Z,Utah Jazz,97,Chicago Bulls,111,,,,,,,,,
2025-03-18 06:29:21,401705556,Denver Nuggets at Golden State Warriors,2025-03-18T02:00Z,Golden State Warriors,105,Denver Nuggets,114,,,,,,,,,
